KZ;Name
BD;Bundestag
ROH;Rotenburg [Wümme
WAK;Wartburgkreis (Bad Salzungen
OS;Osnabrück [Landkreis]
OSL;Oberspreewald-Lausitz (Senftenberg)
OTT;Land Hadeln (Otterndorf)
OTW;Ottweiler [Saar]
OS;Osnabrück [Stadt]
OP;Rhein-Wupper-Kreis (Opladen)
OLD;Oldenburg [Holstein]
OL;Oldenburg [Landkreis] (Wildeshausen)
OL;Oldenburg [Stadt]
OR;Oranienburg
OPR;Ostprignitz-Ruppin (Neuruppin)
PAN;Rottal-Inn (Pfarrkirchen)
PAF;Pfaffenhofen an der Ilm
PA;Passau
PCH;Parchim
PB;Paderborn
PAR;Parsberg
OVP;Ostvorpommern (Anklam)
OVL;Obervogtland (Oelsnitz und Klingenthal)
OVI;Oberviechtach
P;Potsdam
ÖHR;Öhringen [Württemberg]
OZ;Oschatz
NZ;Neustrelitz
NY;Niesky
NWM;Nordwestmecklenburg (Grevesmühlen)
OB;Oberhausen [Rheinland] [Stadt]
OAL;Ostallgäu (Marktoberdorf)
OA;Oberallgäu (Sonthofen)
NT;Nürtingen
NRW;Nordrhein-Westfalen [Landesregierung und Landtag]
NRÜ;Neustadt am Rübenberge
NW;Neustadt [Weinstraße] [Stadt]
NVP;Nordvorpommern (Grimmen)
NU;Neu-Ulm
OBB;Obernburg [Main]
OHA;Osterode am Harz
OH;Ostholstein (Eutin)
OG;Ortenaukreis (Offenburg)
OK;Ohrekreis (Haldensleben)
OHZ;Osterholz (Osterholz-Scharmbeck)
OHV;Oberhavel (Oranienburg)
OCH;Ochsenfurt
OC;Bördekreis (Oschersleben)
OBG;Osterburg
OF;Offenbach [Main]
OE;Olpe
OD;Stormarn (Bad Oldesloe)
RL;Rochlitz
RIE;Riesa
RID;Riedenburg [Bayern]
RO;Rosenheim
RN;Rathenow
RM;Röbel [Müritz]
REI;Berchtesgadener Land (Bad Reichenhall)
REH;Rehau
REG;Regen
RI;Grafschaft Schaumburg (Rinteln)
RH;Roth
RG;Riesa-Großenhain (Großenhain)
RS;Remscheid [Stadt]
RPL;Rheinland-Pfalz [Landesregierung und Landtag]
ROW;Rotenburg [Wümme]
RU;Rudolstadt
RT;Reutlingen
RSL;Roßlau [Elbe]
ROK;Rockenhausen
ROF;Rotenburg [Fulda]
ROD;Roding
ROT;Rothenburg ob der Tauber
ROS;Rostock [Landkreis]
ROL;Rottenburg [Laaber]
RE;Recklinghausen
PL;Plauen
PK;Pritzwalk
PIR;Sächsische Schweiz (Pirna)
PN;Pößneck
PM;Potsdam-Mittelmark (Belzig)
PLÖ;Plön (Holstein)
PER;Perleberg
PEG;Pegnitz
PE;Peine
PI;Pinneberg
PF;Enzkreis (Pforzheim)
PF;Pforzheim [Stadt]
RA;Rastatt
R;Regensburg
QLB;Quedlinburg
RDG;Ribnitz-Damgarten
RD;Rendsburg-Eckernförde (Rendsburg)
RC;Reichenbach [Vogtland]
PS;Pirmasens
PRÜ;Prüm [Eifel]
PR;Prignitz (Perleberg)
QFT;Querfurt
PZ;Prenzlau
PW;Pasewalk
MGN;Meiningen
MGH;Bad Mergentheim
MG;Mönchengladbach [Stadt]
MI;Minden-Lübbecke (Minden [Westfalen])
MHL;Mühlhausen
MH;Mülheim [Ruhr] [Stadt]
MEP;Meppen
MEL;Melle
MEK;Mittlerer Erzgebirgskreis (Marienberg)
MET;Mellrichstadt
MES;Hochsauerlandkreis (Meschede)
MER;Merseburg
MON;Monschau
MOL;Märkisch-Oderland (Seelow)
MOD;Ostallgäu (Marktoberdorf)
MR;Marburg-Biedenkopf (Marburg [Lahn])
MQ;Merseburg-Querfurt (Merseburg)
MOS;Neckar-Odenwald-Kreis (Mosbach)
ML;Mansfelder Land (Lutherstadt Eisleben)
MK;Märkischer Kreis (Lüdenscheid)
MIL;Miltenberg
MO;Moers
MN;Unterallgäu (Mindelheim)
MM;Memmingen [Stadt]
MEI;Meißen
LUK;Luckenwalde
LÜD;Lüdenscheid
LU;Ludwigshafen [Rhein]
M;München
LWL;Ludwigslust
LÜN;Lünen [Stadt]
LS;Märkischer Kreis (Lüdenscheid)
LR;Lahr [Schwarzwald]
LP;Lippstadt
LSZ;Bad Langensalza
LSN;Sachsen [Landesregierung und Landtag]
LSA;Sachsen-Anhalt [Landesregierung und Landtag]
MD;Magdeburg
MC;Malchin
MB;Miesbach
MEG;Melsungen
MED;Süderdithmarschen (Meldorf)
ME;Mettmann
MAI;Mainburg
MAB;Marienberg
MA;Mannheim [Stadt]
MAR;Marktheidenfeld
MAL;Mallersdorf
MAK;Marktredwitz [Stadt]
NF;Nordfriesland (Husum)
NEW;Neustadt an der Waldnaab
NEU;Hochschwarzwald (Titisee-Neustadt)
NIB;Süd-Tondern (Niebüll)
NI;Nienburg [Weser]
NH;Neuhaus [Rennsteig]
NEB;Nebra [Unstrut]
NEA;Neustadt an der Aisch-Bad Windsheim (Neustadt an der Aisch)
NE;Neuss
NES;Rhön-Grabfeld (Bad Neustadt [Saale])
NEN;Neunburg vorm Wald
NEC;Neustadt bei Coburg [Stadt]
NOM;Northeim
NOL;Niederschlesischer Oberlausitzkreis (Görlitz)
NOH;Grafschaft Bentheim (Nordhorn)
NR;Neuwied [Rhein]
NP;Neuruppin
NOR;Norden
